124. DistanceFromHome=1_10 OverTime=No PerformanceRating=3 WorkLifeBalance=3 YearsSinceLastPromotion=0_5 324 ==> Attrition=No 297    conf:(0.92)
125. Department=Research & Development MonthlyIncome=min_7339 NumCompaniesWorked=0_3 OverTime=No 359 ==> Attrition=No 329    conf:(0.92)
126. NumCompaniesWorked=0_3 OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 394 ==> Attrition=No 361    conf:(0.92)
127. DistanceFromHome=1_10 OverTime=No PerformanceRating=3 WorkLifeBalance=3 382 ==> Attrition=No 350    conf:(0.92)
128. MaritalStatus=Married OverTime=No 487 ==> Attrition=No 446    conf:(0.92)
129. DistanceFromHome=1_10 JobInvolvement=3 OverTime=No YearsSinceLastPromotion=0_5 379 ==> Attrition=No 347    conf:(0.92)
130. DistanceFromHome=1_10 JobInvolvement=3 OverTime=No 438 ==> Attrition=No 401    conf:(0.92)
131. OverTime=No WorkLifeBalance=3 639 ==> Attrition=No 585    conf:(0.92)
132. BusinessTravel=Travel_Rarely NumCompaniesWorked=0_3 OverTime=No YearsSinceLastPromotion=0_5 437 ==> Attrition=No 400    conf:(0.92)
133. DailyRate=1034_max OverTime=No 354 ==> Attrition=No 324    conf:(0.92)
134. DistanceFromHome=1_10 OverTime=No PerformanceRating=3 WorkLifeBalance=3 YearsAtCompany=0_13 330 ==> Attrition=No 302    conf:(0.92)
135. DistanceFromHome=1_10 NumCompaniesWorked=0_3 OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 365 ==> Attrition=No 334    conf:(0.92)
136. BusinessTravel=Travel_Rarely StockOptionLevel=1 YearsSinceLastPromotion=0_5 353 ==> Attrition=No 323    conf:(0.92)
137. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No TotalWorkingYears=0_13 353 ==> Attrition=No 323    conf:(0.92)
138. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No TotalWorkingYears=0_13 YearsAtCompany=0_13 353 ==> Attrition=No 323    conf:(0.92)
139. JobInvolvement=3 NumCompaniesWorked=0_3 OverTime=No 423 ==> Attrition=No 387    conf:(0.91)
140. DistanceFromHome=1_10 JobInvolvement=3 OverTime=No PerformanceRating=3 376 ==> Attrition=No 344    conf:(0.91)
141. JobLevel=2 WorkLifeBalance=3 329 ==> Attrition=No 301    conf:(0.91)
142. MonthlyIncome=min_7339 OverTime=No WorkLifeBalance=3 458 ==> Attrition=No 419    conf:(0.91)
143. Department=Research & Development NumCompaniesWorked=0_3 OverTime=No YearsAtCompany=0_13 YearsSinceLastPromotion=0_5 375 ==> Attrition=No 343    conf:(0.91)
144. Department=Research & Development OverTime=No 690 ==> Attrition=No 631    conf:(0.91)
145. Department=Research & Development OverTime=No PerformanceRating=3 573 ==> Attrition=No 524    conf:(0.91)
146. Department=Research & Development OverTime=No PerformanceRating=3 YearsSinceLastPromotion=0_5 491 ==> Attrition=No 449    conf:(0.91)
147. Department=Research & Development MonthlyIncome=min_7339 NumCompaniesWorked=0_3 OverTime=No YearsAtCompany=0_13 339 ==> Attrition=No 310    conf:(0.91)
148. OverTime=No WorkLifeBalance=3 YearsAtCompany=0_13 561 ==> Attrition=No 513    conf:(0.91)
149. OverTime=No WorkLifeBalance=3 YearsSinceLastPromotion=0_5 548 ==> Attrition=No 501    conf:(0.91)
150. DistanceFromHome=1_10 NumCompaniesWorked=0_3 OverTime=No PerformanceRating=3 431 ==> Attrition=No 394    conf:(0.91)
